ticker,ratio
AAPL,20
ABBV,10
ABEV,0.3333
ABNB,15
ABT,4
ADBE,44
ALAB,44
AMAT,5
AMD,10
AMGN,30
AMZN,144
ANF,1
ARCO,0.5
ARKK,10
ARM,27
ASML,146
ASTS,15
AVGO,39
AXP,15
AZN,4
BA,24
BABA,9
BAC,41
BBD,1
BIDU,11
BIIB,13
BIOX,1
BKNG,700
BMNR,8
BMY,3
BP,5
BRK-B,22
BSBR,1
BX,30
C,3
CAAP,0.25
CAT,20
CL,3
COIN,27
COP,25
COPX,14
COST,48
CRM,18
CRWD,79
CRWV,27
CSCO,5
CVS,15
CVX,16
DE,40
DEO,6
DIA,20
DIS,12
ECL,56
EEM,5
ESGU,30
EWY,50
EWZ,2
F,1
FDX,10
GE,8
GGB,0.25
GILD,4
GLD,50
GLOB,18
GM,6
GOOG,58
GOOGL,58
GS,13
HD,32
HOG,3
HON,8
HOOD,29
HPQ,1
IBM,15
ICLN,5
ILF,6
INTC,5
IREN,12
ISRG,90
ITUB,1
IWM,10
JD,4
JNJ,15
JPM,15
KMB,6
KO,5
LLY,56
LMT,20
MA,33
MCD,24
MDLZ,15
MDT,4
MELI,120
META,24
MMM,10
MO,4
MRK,5
MRNA,19
MRVL,14
MSFT,30
MU,5
NFLX,48
NIO,4
NKE,12
NOW,172
NTES,14
NU,2
NVDA,24
NVO,7
NVS,4
OKLO,28
ORCL,3
OXY,5
PAGS,3
PANW,50
PBR,1
PDD,25
PEP,18
PFE,4
PG,15
PLTR,3
PM,18
PYPL,8
QCOM,11
QQQ,20
RKLB,12
RSP,30
RTX,5
SBUX,12
SCHW,13
SHEL,2
SHOP,107
SLB,3
SMH,50
SNOW,30
SPOT,28
SPXL,25
SPY,60
STNE,3
T,3
TCOM,2
TGT,24
TMO,22
TMUS,33
TSLA,15
TSM,9
TTE,3
TXN,5
UBER,2
UL,3
UNH,33
USB,5
V,18
VALE,2
VIST,3
VZ,4
WFC,5
WMT,18
XLE,2
XLF,2
XLK,46
XLV,29
XLY,43
XME,30
XOM,10
XPEV,4
