Ticker,Sector,Score,Rating,Cobertura,Q,Val,Gro,Saf,Mom,Inc,pe,forward_pe,pb,ev_ebitda,roe,profit_margin,revenue_growth,earnings_growth,debt_to_equity,dividend_yield,Mom%
ONDS,Technology,9.49,Fuerte,5/6,9.3,7.7,9.9,9.8,9.7,,89.111115,-160.40001,3.5021837,-32.454,0.42948002,2.5192,10.799,,0.728,,588.5
SNDK,Technology,8.91,Fuerte,5/6,8.5,4.8,9.6,9.1,10.0,,70.0509,11.038213,22.026361,54.347,0.39297,0.34185,2.51,,1.503,,3637.6
MU,Technology,8.46,Fuerte,6/6,9.5,6.7,9.9,8.1,9.9,1.3,25.870342,7.665633,17.828978,18.457,0.66638,0.55906,3.457,13.685,6.33,0.05,680.2
CEPU,Utilities,8.43,Fuerte,5/6,9.0,8.6,7.5,7.5,10.0,,7.4285717,9.036812,1.2575932,1.153,0.19266,0.3667,0.631,1.271,27.327,,32.9
NBIS,Communication Services,8.37,Fuerte,5/6,7.9,1.9,10.0,6.5,10.0,,100.44231,722.9666,9.236727,-1600.006,0.14136,0.93086,6.839,,132.429,,317.7
SATL,Industrials,8.34,Fuerte,4/6,2.3,,10.0,8.8,9.7,,,-58.75,-31.685392,-33.273,,0.0,0.803,,,,162.7
EWZ,,8.25,Fuerte,3/6,,9.0,,,8.0,8.0,12.485621,,0.9445902,,,,,,,4.59,32.1
MUX,Basic Materials,8.25,Fuerte,5/6,7.1,5.9,9.4,5.3,9.7,,15.194916,4.3256936,1.6277803,37.72,0.13091,0.31404,1.074,,19.651,,127.8
IRS,Real Estate,8.23,Fuerte,6/6,9.0,7.3,10.0,4.5,6.0,10.0,4.84164,28.135656,0.87627614,3.927,0.22481,0.72512,0.293,,44.648,15.41,9.3
B,Basic Materials,8.21,Fuerte,6/6,8.5,6.6,8.9,8.2,8.9,5.7,9.981081,8.042282,2.2632837,5.923,0.25176,0.32141,0.667,2.542,12.852,1.88,109.0
MRNA,Healthcare,8.16,Fuerte,5/6,1.7,6.8,10.0,9.2,10.0,,,-16.616602,3.7352624,-9.911,-0.36556998,-1.4355099,2.602,,17.522,,73.7
CDE,Basic Materials,8.11,Fuerte,6/6,6.7,6.0,10.0,9.2,9.5,2.1,13.169354,8.004902,1.6224542,12.085,0.12146,0.31146,1.378,4.833,7.426,0.25,118.3
CAAP,Industrials,8.03,Fuerte,5/6,6.4,8.8,8.9,7.7,7.6,,14.793103,11.299237,2.3270953,6.056,0.17448,0.13841,0.201,0.88,58.138,,31.0
IEMG,,8.0,Fuerte,3/6,,8.0,,,10.0,4.0,17.717394,,1.2656208,,,,,,,2.21,41.5
EEM,,8.0,Fuerte,3/6,,8.0,,,10.0,4.0,17.854893,,1.2831296,,,,,,,1.77,44.7
MFG,Financial Services,7.97,Fuerte,6/6,5.6,8.3,9.1,8.0,9.1,5.0,15.451612,6.8920865,1.6533164,,0.11439,0.28366,0.167,6.799,,1.89,61.3
ALAB,Technology,7.78,Fuerte,5/6,6.6,1.6,8.6,9.4,9.5,,306.01343,105.85651,52.277,282.815,0.21110001,0.26724002,0.934,1.444,2.801,,276.7
PAM,Industrials,7.76,Fuerte,5/6,5.9,9.4,9.1,8.8,5.5,,9.927273,5.810699,1.1792657,7.187,0.121029995,0.20306,0.384,0.399,50.435,,21.2
ILF,,7.75,Fuerte,3/6,,9.0,,,8.0,6.0,12.794154,,1.273569,,,,,,,3.83,38.9
HL,Basic Materials,7.7,Fuerte,6/6,6.7,4.1,9.1,9.2,10.0,1.7,22.31884,13.01632,4.0177407,11.525,0.19894,0.16806999,1.004,,11.091,0.1,197.0
RKLB,Industrials,7.67,Fuerte,5/6,1.7,2.7,9.7,9.8,10.0,,,-5578.2583,24.919909,-289.284,-0.13549,-0.26872,0.635,,6.124,,305.5
MO,Consumer Defensive,7.64,Fuerte,6/6,10.0,8.8,7.2,1.8,7.8,10.0,15.455114,12.597313,-38.517166,9.143,,0.39518002,0.053,1.063,,5.75,24.6
GFI,Basic Materials,7.59,Fuerte,6/6,10.0,4.9,8.6,5.0,5.6,9.6,8.454315,5.896066,7.066186,11.925,0.51931,0.40764,0.714,1.961,37.143,6.92,73.3
COPX,,7.5,Fuerte,3/6,,6.0,,,10.0,4.0,17.469297,,,,,,,,,2.18,100.2
GDX,,7.5,Fuerte,3/6,,8.0,,,10.0,2.0,14.4698,,,,,,,,,0.71,73.1
EWJ,,7.5,Fuerte,3/6,,8.0,,,8.0,6.0,19.157228,,1.3785403,,,,,,,3.92,28.6
BMNR,Financial Services,7.49,Bueno,6/6,1.4,7.3,10.0,9.7,9.6,1.5,,14.675532,0.69116694,-21.46,-1.75882,0.0,6.278,,0.013,0.07,351.9
LLY,Healthcare,7.49,Bueno,6/6,9.7,1.8,9.8,4.8,8.7,1.9,43.6643,27.635742,35.202053,30.8,1.07459,0.34986,0.555,1.699,139.015,0.57,43.5
AGRO,Consumer Defensive,7.45,Bueno,6/6,2.4,9.0,9.2,7.8,8.9,4.4,482.5,7.716604,0.7928683,11.713,0.010930001,0.00914,0.225,0.556,116.268,3.15,33.9
AMZN,Consumer Cyclical,7.45,Bueno,5/6,7.2,3.9,8.5,6.5,8.0,,32.672108,24.30434,5.8438177,16.653,0.24285,0.12224,0.166,0.748,53.3,,21.2
RGTI,Technology,7.41,Bueno,5/6,1.8,5.0,9.5,9.7,8.1,,,-96.66352,11.070615,-71.121,-0.57092,0.0,1.989,,1.162,,115.3
UGP,Energy,7.41,Bueno,6/6,5.7,7.9,8.2,5.3,7.0,9.6,9.2,8.716623,1.6923797,2.884,0.19181,0.020550001,0.103,1.674,114.113,6.37,57.9
PLTR,Technology,7.37,Bueno,5/6,8.3,2.2,9.0,9.3,5.4,,130.0,55.569695,32.822693,130.321,0.32587,0.43673,0.847,3.25,2.477,,19.7
GOOGL,Communication Services,7.35,Bueno,6/6,9.5,2.7,8.1,7.8,9.4,1.7,26.95503,24.300047,8.949992,25.148,0.38884997,0.37919,0.218,0.82,20.026,0.26,113.5
ROST,Consumer Cyclical,7.34,Bueno,6/6,7.5,3.5,8.5,7.3,10.0,1.7,29.166203,24.43548,10.632893,20.112,0.38981998,0.097399995,0.206,0.374,74.911,0.84,82.9
KGC,Basic Materials,7.33,Bueno,6/6,9.4,6.7,7.8,8.3,7.3,2.4,10.112766,6.934252,3.1191757,5.577,0.35467,0.35988,0.608,1.339,8.204,0.6,93.9
