ticker,name,currency,law,maturity
GD29,Global 2029,USD,NY,2029
GD30,Global 2030,USD,NY,2030
GD35,Global 2035,USD,NY,2035
GD38,Global 2038,USD,NY,2038
GD41,Global 2041,USD,NY,2041
GD46,Global 2046,USD,NY,2046
AL29,Bonar 2029,USD,Local,2029
AL30,Bonar 2030,USD,Local,2030
AL35,Bonar 2035,USD,Local,2035
AE38,Bonar 2038,USD,Local,2038
AL41,Bonar 2041,USD,Local,2041
BPOA7,BOPREAL 1A 2027,USD,BCRA,2027
BPOB7,BOPREAL 1B 2027,USD,BCRA,2027
BPOC7,BOPREAL 1C 2027,USD,BCRA,2027
BPOD7,BOPREAL 1D 2027,USD,BCRA,2027
BPOA8,BOPREAL 4A 2028,USD,BCRA,2028
BPOB8,BOPREAL 4B 2028,USD,BCRA,2028
YCAMO,YPF Clase 53 2027,USD,NY,2027
YMCXO,YPF Clase 31 2031,USD,NY,2031
VSCVO,Vista Clase 29 2033,USD,NY,2033
MGCMO,Pampa Clase 21 2031,USD,NY,2031
MGCOO,Pampa Clase 23 2034,USD,NY,2034
TSC3O,TGS Clase 3 2031,USD,NY,2031
PNXCO,Pan American Energy Clase 31 2032,USD,NY,2032
